N° Pregunta,Pregunta,Opción A,Opción B,Opción C,Opción D,Respuesta Correcta,Texto Respuesta Correcta
1,"¿Cómo se denomina al caso nuevo de diabetes que fue diagnosticado en el establecimiento de salud, durante la atención a un adulto mayor?",Prevalente,Confirmado,Incidente,Sospechoso,C,Incidente
2,"El respeto que merece el paciente exige, hoy más que nunca, que los profesionales de la salud en general y los médicos en particular adquieran la suficiente habilidad comunicativa para que los pacientes realmente comprendan, por lo que la asertividad en la comunicación inicia con...",saber escuchar.,valorar lo justo y lo injusto.,discernir entre lo bueno y lo malo.,diferenciar lo correcto de lo incorrecto.,A,saber escuchar.
3,"Durante el inventario del año 2023, de la farmacia de un establecimiento de salud, se encontraron productos farmacéuticos, dispositivos médicos y productos sanitarios vencidos. Estos deben permanecer almacenados para su respectiva baja y destrucción final en el almacén:",Del SISMED,De la farmacia,Central,De servicios generales,C,Central
4,En los cuidados individuales por curso de vida adulto mayor; en el entorno comunitario contempla:,La prevención de las caídas entre otros,Control de presión arterial,El control glicemia,Control de colesterol en sangre,A,La prevención de las caídas entre otros
5,Según el perímetro abdominal para la edad. ¿Qué valor determina riesgo alto para tener enfermedades cardiovasculares y metabólicas en adolescentes?,Circunferencia abdominal ≥75 cm,Percentil ≥75 y <90,Percentil ≥90,Circunferencia abdominal >80 cm,B,Percentil ≥75 y <90
6,"Dentro de sus intervenciones a realizar en su establecimiento de salud, prioriza el programa articulado nutricional (PAN). ¿Cuál es el objetivo del programa?",Reducción de la desnutrición crónica en menores de 5 años,Reducción de desnutrición y anemia en niños,Disminución la desnutrición aguda en menores de 3 años,Disminución de la malnutrición en menores de un año,A,Reducción de la desnutrición crónica en menores de 5 años
7,¿Cuál de los siguientes enunciados es un indicador de estructura en la vigilancia epidemiológica en adolescentes?,% de adolescentes con consejería en salud nutricional,% de regiones que cuentan con un documento de análisis de situación de salud regional de adolescentes,% de adolescentes con consejería en salud sexual y reproductiva,% de atenciones preventivas en adolescentes con SIS,B,% de regiones que cuentan con un documento de análisis de situación de salud regional de adolescentes
8,"Niño de 6 meses de edad, traido a su control de crecimiento y desarrollo al centro de salud de Paracas donde usted labora. Examen peso: 8 Kg. Hb: 10.8 g/dl. De acuerdo a la norma técnica de anemia 2024. ¿Cuál es la dosis de suplementación en mg indicada?",24,16,32,40,B,16
9,Si se debe tomar decisiones con la media. ¿Cuál es la medida de dispersión asociada?,Desviación estándar,Rango intercuartílico,Varianza,Curtosis,A,Desviación estándar
10,El modelo Bismark como modelo de salud se caracteriza por tener enfoque en...,protección laboral y familiar.,la comunidad.,grupos especiales.,acceso según recurso.,A,protección laboral y familiar.
11,¿Cuáles son factores de riesgo de enfermedad hipertensiva no modificables?,"Tabaquismo, sedentarismo",Consumo excesivo de sal,"Sexo masculino, edad ≥55 años",Persona adulta ≥ 30 Kg/m2,C,"Sexo masculino, edad ≥55 años"
12,Al conjunto al que se le quiere medir la distribución de variables en toda investigación se le conoce como:,Parámetro,Muestra,Población,Variable,C,Población
13,¿Qué institución conduce el Centro Nacional de Farmacovigilancia y Tecnovigilancia?,CDC,INS,CENARES,DIGEMID,D,DIGEMID
14,"Confirma o refuta los datos preliminares, solidifica las conclusiones y asienta las bases para la generalización científica o estadística de los resultados a la población de interés:",El adecuado análisis de datos,Muestra adecuada y representativa,Definición clara y precisa del objetivo,Comparabilidad a lo largo del estudio,A,El adecuado análisis de datos
15,¿Qué profesional debe tener la custodia de oxígeno medicinal en un establecimiento de salud?,Enfermera,Químico farmacéutico,Técnico de farmacia,Médico,B,Químico farmacéutico
16,La determinación de la valoración nutricional antropométrica durante la gestación debe realizarse en base a tres indicadores. ¿Cuál es el primer indicador que se debe aplicar?,Índice de masa corporal pre gestacional,Ganancia de peso en el primer trimestre,Índice de masa corporal durante la adolescencia,Altura uterina según edad gestacional,A,Índice de masa corporal pre gestacional
17,¿Cuál es una de las causales de exclusión de proveedores adjudicatarios?,Cuando su empresa no cuente con RUC vigente,Cuando el consorcio no esté registrado,Cuando sea persona natural,Cuando este impedido de contratar con el estado,D,Cuando este impedido de contratar con el estado
18,"Después de haber utilizado benzodiacepinas por varios meses y retirar el fármaco de forma abrupta, se desarrolla rápidamente ansiedad, taquicardia, pesadillas, náuseas, insomnio entre otros síntomas. ¿Qué tipo de reacción adversa se ha presentado?",RAM tipo E,RAM tipo B,RAM tipo A,RAM tipo C,A,RAM tipo E
19,"El responsable del establecimiento de salud, han identificado que tienen una gran población de mujeres en edad fértil procedentes de Venezuela. Con el fin de promover un mejor proceso de integración como sociedad de acogida y al uso de servicios de sanitarios, planifica capacitar a su personal. ¿Cuál sería el tema principal de la capacitación?",Charla de drogas y violencia,Empatía y buenas prácticas en salud,Respeto al usuario,Etnocentrismo y relativismo cultural,D,Etnocentrismo y relativismo cultural
20,Se desea investigar los efectos de los macrólidos en bronquiolitis aguda; ¿Qué tipo de estudio sería el adecuado?,Descriptivo longitudinal,Analítico observacional,Analítico experimental,Descriptivo transversal,C,Analítico experimental
21,El jefe de logística de un establecimiento de salud realizará la compra de un dispositivo médico para la entidad. ¿Cuántas cotizaciones en su estudio de mercado como mínimo debe contar?,8,3,5,1,B,3
22,En toda medición o instrumento de recolección de datos; el grado en el que un instrumento produce resultados consistentes y coherentes. ¿A qué requisito esencial corresponde?,Confiabilidad,Validez,Honestidad,Objetividad,A,Confiabilidad
23,"El médico SERUMS del puesto de salud, organiza un taller para autoexamen de mama con las mujeres del comedor popular de su distrito; allí explica la técnica del autoexamen y factores de riesgo para cáncer de mama. ¿Qué fomenta esta intervención?",Rehabilitación,Tratamiento,Autocuidado,Diagnóstico,C,Autocuidado
24,"¿Cuáles son los estudios prospectivos de mayor calidad de evidencia, donde el investigador controla el factor de estudio?",Experimentales,Cohortes,Analíticos,Descriptivos,A,Experimentales
25,"En un establecimiento de salud, se decide la contratación de recursos humanos. Por lo que se requiere definir adecuadamente el perfil del cargo. ¿Cuál es el documento de gestión que va a guiar los elementos de contratación?",POI,MAPRO,CAP,MOF,D,MOF
26,Dentro del plan anual de calidad de salud en el establecimiento de salud está programada la apertura del buzón de sugerencias para saber la opinión de los usuarios con el objetivo de realizar los planes de mejora. ¿Cuál es la frecuencia de apertura del buzón de sugerencias?,Anual,Trimestral,Mensual,Semestral,C,Mensual
27,"El hospital nacional docente de Lima, para optimizar la gestión de sus procesos administrativos, docentes, clínicos y de investigación requiere que se realice la programación en el Plan Operativo Institucional multianual, las actividades operativas y de Inversiones necesarias para implementar las Acciones Estratégicas Institucionales (AEI), definidas en el Plan Estratégico Institucional (PEI). ¿Cuál es el período de vigencia en años como máximo, del POI multianual?",2,10,5,3,D,3
28,"Según la normatividad vigente, sobre manejo de residuos sólidos. Los medicamentos vencidos. ¿Cómo qué tipo de residuo se clasifica?",Especiales,Comunes,Biocontaminados,Punzocortantes,A,Especiales
29,"La leche de los primeros días se llama ...... y brinda protección a la mucosa intestinal del recién nacido, con inmunoglobulina A secretoria, impidiendo la colonización de gérmenes.",leche madura,leche sucedánea,calostro,leche de transición,C,calostro
30,"En relación al abastecimiento de productos farmacéuticos, dispositivos médicos y productos sanitarios, para que se considere como un adecuado abastecimiento. ¿Cuántos meses de stock disponible debe tener?",3,12,8,6,D,6
31,"El establecimiento de salud asignado para realizar su SERUMS, pertenece a un área geográfica con presencia de casos autóctonos de dengue, que se limita a una unidad geográfica en un determinado tiempo. ¿Indique a qué tipo de escenario epidemiológico pertenece?",Escenario IV - endémico,Escenario III - brote,Escenario I,Escenario II - Epidémico,B,Escenario III - brote
32,"Las farmacias de los establecimientos de salud del MINSA a nivel nacional. ¿Qué sistema de información deben manejar para remitir información de consumo integrado de productos farmacéuticos, dispositivos médicos y productos sanitarios?",Galeno,Farmax,Sisgalen,SISMED,D,SISMED
33,Dentro de los modelos de salud. ¿Qué característica está relacionada con el modelo comunitario?,Diferencia la población con y sin recursos,Es centralizado,Tiene un monopolio estatal,Prioriza la protección laboral,B,Es centralizado
34,Se desea estimar la prevalencia de la neumonía adquirida en la comunidad en la población pediátrica de 2 a 5 años en las escuelas de su jurisdicción. Para controlar el sesgo de selección. ¿Qué tipo de muestreo se debe realizar?,Estratificado,Aleatorio simple,No probabilístico,Por conglomerados,B,Aleatorio simple
35,Es el subgrupo del universo del cual se recolectan los datos y que debe ser representativo de éste:,Población,Parámetro,Variable,Muestra,D,Muestra
36,"Para conocer y saber cuáles son las funciones, objetivos y la necesidad de contar con determinado puesto, es necesario identificar el propósito del puesto con las preguntas siguientes:","¿Qué formación?, ¿Dónde?, ¿Para qué?, ¿De acuerdo a qué perfil?","¿Qué sabe?, ¿Dónde?, ¿Para cuándo?, ¿De acuerdo con qué?","¿Qué habilidades?, ¿Dónde?, ¿Para qué?, ¿De acuerdo con qué?","¿Qué hace?, ¿Dónde?, ¿Para qué?, ¿De acuerdo con qué?",D,"¿Qué hace?, ¿Dónde?, ¿Para qué?, ¿De acuerdo con qué?"
37,Puérpera con diagnóstico confirmatorio de sífilis; tratamiento incompleto; al recién nacido se considera neonato con sífilis congénita. ¿Cuál es la acción a seguir?,Tratamiento alternativo,Derivar a establecimiento resolutivo,Tratamiento farmacológico inmediato,Evaluación diagnostica confirmatoria,B,Derivar a establecimiento resolutivo
38,"En la actividad de entrega de producto e información, dentro del proceso de dispensación farmacéutica de medicamentos de primera línea para la tuberculosis. ¿Cuál es una reacción adversa que debería de advertirse al paciente?",Nefrotoxicidad por rifampicina,Trombocitopenia por linezolid,Neuritis óptica por pirazinamida,Neuritis periférica por isoniazida,D,Neuritis periférica por isoniazida
39,Durante la evaluación realizada de indicadores de gestión de medicamentos esenciales. ¿Cuál debe ser el valor de disponibilidad óptimo esperado que debe obtener la farmacia?,75% a 80%,90% a 100%,80% a 85%,85% a 89%,B,90% a 100%
40,"Paciente de 30 años procedente de zona infestada por Aedes aegypti, presenta hace 5 días fiebre y dolor muscular, además se agrega dolor abdominal y plaquetas: 80,000/dl. ¿Cuál es el diagnóstico?",Dengue con signos de alarma,Dengue grave,Dengue,Dengue sin signos de alarma,A,Dengue con signos de alarma
41,"El jefe de un establecimiento de salud, revisa conjuntamente con su equipo de gestión los resultados de la encuesta de satisfacción del usuario e identifican que el problema principal es el tiempo de demora en la atención. Por lo tanto, evalúan la brecha de recursos humanos para hacer el requerimiento para tal fin. ¿Qué documento de gestión es necesario para evaluar la brecha?",MOF - CAP,CAP – POI,ROF – CAP,PEI- MAPRO,C,ROF – CAP
42,"Qué herramienta le permite poner en marcha las estrategias institucionales, detalla metas anuales de todos los objetivos y entregables y se precisan todas las actividades o tareas necesarias para alcanzar los productos a entregar, establece los recursos, plazos, costos por actividad, estándares de calidad, logística, planes de contingencia frente a los riesgos y finalmente indicadores que servirán para evaluar la gestión y determinar si se han alcanzado o no los indicadores de resultado e impacto establecidos.",Plan Anual Institucional,Plan Estratégico Institucional,Plan Operativo Institucional,Plan de Gestión Institucional,C,Plan Operativo Institucional
43,"Según la norma técnica de salud para la acreditación de establecimientos de salud y servicios médicos de apoyo, las fases de acreditación son:",Evaluación y evaluación interna,Análisis situacional y evaluación interna,Autoanálisis y evaluación anual,Autoevaluación y evaluación externa,D,Autoevaluación y evaluación externa
44,Las creencias que presenta una comunidad determinándolo como válido y propio en su desarrollo cultural no presentando participación en la comunidad ni en el sistema de salud. ¿Qué tipo de problema intercultural presenta?,Aculturación,Conflicto intercultural,Bioética,Desarrollo social,B,Conflicto intercultural
45,"En el caso de tratamientos especiales, nuevas modalidades de atención, práctica de procedimiento o intervenciones que puedan afectar psíquica o físicamente al paciente; y la participación del paciente en actividades de docencia, debe realizarse y registrarse con el formato de...",autorización de atención.,solicitud de atención.,consentimiento informado.,permiso del paciente.,C,consentimiento informado.
46,"Una investigación es un proceso sistemático, organizado y objetivo, destinado a responder a una pregunta. El término sistemático significa que se aplica...",el método epidemiológico.,el método científico.,el método clínico.,el método hipotético.,B,el método científico.
47,Para recomendar la puesta en marcha de un programa de prevención secundaria respecto a un problema de salud determinado. ¿Cuál es uno de los tres grupos principales de factores a tener en cuenta?,Relativos al problema de salud,Relacionados al contexto,Enfocados en tratamiento,Enfocados en rehabilitación,A,Relativos al problema de salud
48,"Mujer de 75 años con diagnóstico de insuficiencia cardiaca y diabetes mellitus 2, recibiendo el siguiente tratamiento farmacológico: losartán 50 mg c/24 h, espironolactona 25 mg c/24 h, bisoprolol 5 mg c/24 h, metformina 850 mg c/24 h. Resultados de control de laboratorio: Na: 140 mEq/L, K: 6.3 mEq/L, glucosa: 90 mg/dL. ¿Cuáles son los fármacos responsables del problema electrolítico?",Losartán - espironolactona,Bisoprolol - espironolactona,Metformina - espironolactona,Losartán - metformina,A,Losartán - espironolactona
49,"Paciente, quechua hablante de 44 años aún fértil, madre de 6 hijos, con enfermedad de hipertensión arterial, se niega a utilizar métodos anticonceptivos. ¿Qué acción debe tomar con respecto a este caso?",Llamar a su pareja para que decida por ella,Persuadirla a que utilice anticonceptivos,Respetar su decisión,Solicitar evaluación psicológica,C,Respetar su decisión
50,"Paciente varón de 35 años que trabaja habitualmente en el sector agrícola, acude junto a su familiar al centro de salud donde realiza su SERUMS, manifestando desorientación, mareos, bradicardia, dificultad respiratoria y relajación de esfínteres. El familiar manifiesta que el paciente estaba manipulando plaguicidas y parte de este se derramó en gran parte de su vestimenta. ¿Cuál es el tratamiento de primera línea?",Atropina,Flumazenil,Adrenalina,Naloxona,A,Atropina
51,Toda medición o instrumento de recolección de datos debe reunir tres requisitos esenciales:,"Confidencial, válido y objetivo","Imparcial, equitativo y honesto","Privado, secreto y reservado","Seguro, reservado y protegido",A,"Confidencial, válido y objetivo"
