N° Pregunta,Pregunta,Opción A,Opción B,Opción C,Opción D,Respuesta Correcta,Texto Respuesta Correcta
1,"¿Cómo se denomina al caso nuevo de diabetes que fue diagnosticado en el establecimiento de salud, durante la atención a un adulto mayor?",Prevalente,Incidente,Confirmado,Sospechoso,B,Incidente
2,La determinación de la valoración nutricional antropométrica durante la gestación debe realizarse en base a tres indicadores. ¿Cuál es el primer indicador que se debe aplicar?,Altura uterina según edad gestacional,Índice de masa corporal durante la adolescencia,Ganancia de peso en el primer trimestre,Índice de masa corporal pre gestacional,D,Índice de masa corporal pre gestacional
3,En la relación clínica médico-paciente de acuerdo a la ética. ¿Cuál es el principio que rige?,Jurisprudencia,Autonomía,Justicia,No-maleficencia,D,No-maleficencia
4,"El hospital nacional docente de Lima, para optimizar la gestión de sus procesos administrativos, docentes, clínicos y de investigación requiere que se realice la programación en el Plan Operativo Institucional multianual, las actividades operativas y de Inversiones necesarias para implementar las Acciones Estratégicas Institucionales (AEI), definidas en el Plan Estratégico Institucional (PEI). ¿Cuál es el período de vigencia en años como máximo, del POI multianual?",10,5,2,3,D,3
5,"¿Cuál es el criterio epidemiológico de causalidad, que define que la coherencia interna de la asociación depende de la existencia de una relación unidireccional de la curva de dosis-respuesta entre el factor y la enfermedad?",Evidencia experimental,Ausencia de distorsiones metodológicas,Consistencia de los resultados,Gradiente biológico,D,Gradiente biológico
6,"Gestante de 25 años G1P000; EG: 40 semanas por FUR, en período expulsivo hace 2 horas. Examen: FC: 84 X’; FR: 22X’; T°: 36.6 °C; PA: 100/60 mmHg. Examen: AU: 36 cm. Feto: LCD. FCF: 132 X’. MF: ++/++. TV: D:10 cm; I: 100%; AP: -2; M: rotas (LM Fluido); VPPF: OIIA. A la reevaluación: FC: 112 X’; FR: 25 X’; T°: 36.6 °C; PA: 80/50 mmHg. Las contracciones uterinas han cesado y se palpan partes fetales fácilmente. FCF: 86 X’. ¿Cuál es el diagnóstico más probable?",Ruptura uterina,Parto obstruido,Trabajo de parto disfuncional,Muerte fetal,A,Ruptura uterina
7,Si se debe tomar decisiones con la media. ¿Cuál es la medida de dispersión asociada?,Curtosis,Varianza,Rango intercuartílico,Desviación estándar,D,Desviación estándar
8,"Para conocer y saber cuáles son las funciones, objetivos y la necesidad de contar con determinado puesto, es necesario identificar el propósito del puesto con las preguntas siguientes:","¿Qué formación?, ¿Dónde?, ¿Para qué?, ¿De acuerdo a qué perfil?","¿Qué sabe?, ¿Dónde?, ¿Para cuándo?, ¿De acuerdo con qué?","¿Qué hace?, ¿Dónde?, ¿Para qué?, ¿De acuerdo con qué?","¿Qué habilidades?, ¿Dónde?, ¿Para qué?, ¿De acuerdo con qué?",C,"¿Qué hace?, ¿Dónde?, ¿Para qué?, ¿De acuerdo con qué?"
9,Dentro de los modelos de salud. ¿Qué característica está relacionada con el modelo comunitario?,Tiene un monopolio estatal,Prioriza la protección laboral,Diferencia la población con y sin recursos,Es centralizado,D,Es centralizado
10,"Qué herramienta le permite poner en marcha las estrategias institucionales, detalla metas anuales de todos los objetivos y entregables y se precisan todas las actividades o tareas necesarias para alcanzar los productos a entregar, establece los recursos, plazos, costos por actividad, estándares de calidad, logística, planes de contingencia frente a los riesgos y finalmente indicadores que servirán para evaluar la gestión y determinar si se han alcanzado o no los indicadores de resultado e impacto establecidos.",Plan Operativo Institucional,Plan de Gestión Institucional,Plan Anual Institucional,Plan Estratégico Institucional,A,Plan Operativo Institucional
11,El jefe de logística de un establecimiento de salud realizará la compra de un dispositivo médico para la entidad. ¿Cuántas cotizaciones en su estudio de mercado como mínimo debe contar?,3,5,8,1,A,3
12,"Gestante que acude a un establecimiento de salud, procedente de una comunidad de la costa norte, presenta fiebre alta, cefalea, dolor retro ocular, mialgias; después de la evaluación realiza su diagnóstico de dengue. ¿A qué grupo pertenecería para iniciar tratamiento?",A,C,B1,B2,C,B1
13,Para determinar la magnitud de la faringoamigdalitis aguda en la población pediátrica de su localidad utilizando los criterios de Centor. ¿Qué tipo de estudio usaría?,Descriptivo transversal,Analítico observacional,Analítico experimentale,Descriptivo longitudinal,A,Descriptivo transversal
14,Toda medición o instrumento de recolección de datos debe reunir tres requisitos esenciales:,"Confidencial, válido y objetivo","Imparcial, equitativo y honesto","Privado, secreto y reservado","Seguro, reservado y protegido",A,"Confidencial, válido y objetivo"
15,"En el SERUMS, el profesional de salud al ingresar al establecimiento de salud. ¿Qué es lo primero que debe realizar para poder desarrollar el Plan Operativo Institucional?",Presentarse con el director,Recoger el informe anterior,Análisis situacional,Análisis poblacional,C,Análisis situacional
16,¿Cuáles son factores de riesgo de enfermedad hipertensiva no modificables?,Consumo excesivo de sal,"Sexo masculino, edad ≥55 años",Persona adulta ≥ 30 Kg/m2,"Tabaquismo, sedentarismo",B,"Sexo masculino, edad ≥55 años"
17,"En relación al abastecimiento de productos farmacéuticos, dispositivos médicos y productos sanitarios, para que se considere como un adecuado abastecimiento. ¿Cuántos meses de stock disponible debe tener?",12,3,8,6,D,6
18,"Herramienta de gestión para los cuidados integrales en la RIS, que define las condiciones necesarias para asegurar la integralidad y longitudinalidad, de las personas, familias y comunidades en diferentes escenarios. ¿A qué corresponde?",Equipo multidisciplinario de salud,Vías de cuidados integrales de salud,Modelo de cuidado integral,Modelo de atención integral,B,Vías de cuidados integrales de salud
19,En una comunidad se desea evaluar la incidencia de una determinada enfermedad. ¿Cuál de las medidas de efecto se debe aplicar?,Riesgo relativo,Odds Ratio,Número de pacientes necesario a tratar (NNT),Riesgo absoluto,D,Riesgo absoluto
20,Es el subgrupo del universo del cual se recolectan los datos y que debe ser representativo de éste:,Muestra,Parámetro,Población,Variable,A,Muestra
21,"El director de la DIRIS descubre que un personal CAS contratado como técnico asistencial y estudiante de una carrera universitaria de salud, viene realizando actividades de un profesional; al ser descubierto indica que dichas funciones fueron otorgadas por su jefe inmediato superior. ¿A quién se debe sancionar?",Al responsable de recursos humanos,Al jefe inmediato,Al jefe del establecimiento de salud,Al responsable de la DIRIS,B,Al jefe inmediato
22,"La leche de los primeros días se llama ...... y brinda protección a la mucosa intestinal del recién nacido, con inmunoglobulina A secretoria, impidiendo la colonización de gérmenes.",leche madura,leche de transición,calostro,leche sucedánea,C,calostro
23,"Nos reportan casos de tos ferina en una comunidad de la selva hace 3 días, es el primer caso que es captado por el servicio de salud. ¿A qué tipo de caso corresponde?",Secundario,Primario,Índice,Sospechoso,C,Índice
24,¿Cuál es la cantidad de consumo de sodio recomendado por la Organización Mundial de la Salud (OMS) y la Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO)?,>7 g/día,6 g/día,8 mg/día,<5 g/día,D,<5 g/día
25,"Durante el inventario del año 2023, de la farmacia de un establecimiento de salud, se encontraron productos farmacéuticos, dispositivos médicos y productos sanitarios vencidos. Estos deben permanecer almacenados para su respectiva baja y destrucción final en el almacén:",Central,De la farmacia,De servicios generales,Del SISMED,A,Central
26,¿Qué institución conduce el Centro Nacional de Farmacovigilancia y Tecnovigilancia?,DIGEMID,CDC,CENARES,INS,A,DIGEMID
27,"El establecimiento de salud asignado para realizar su SERUMS, pertenece a un área geográfica con presencia de casos autóctonos de dengue, que se limita a una unidad geográfica en un determinado tiempo. ¿Indique a qué tipo de escenario epidemiológico pertenece?",Escenario IV - endémico,Escenario III - brote,Escenario II - Epidémico,Escenario I,B,Escenario III - brote
28,En toda medición o instrumento de recolección de datos; el grado en el que un instrumento produce resultados consistentes y coherentes. ¿A qué requisito esencial corresponde?,Honestidad,Validez,Confiabilidad,Objetividad,C,Confiabilidad
