Examen,Bloque/Tipo,N° Pregunta,Pregunta,Opción A,Opción B,Opción C,Opción D,Respuesta Correcta,Texto Respuesta Correcta
2024-II,Medicina I,1,"¿Cómo se denomina al caso nuevo de diabetes que fue diagnosticado en el establecimiento de salud, durante la atención a un adulto mayor?",Prevalente,Confirmado,Incidente,Sospechoso,C,Incidente
2024-II,Medicina I,2,"El respeto que merece el paciente exige, hoy más que nunca, que los profesionales de la salud en general y los médicos en particular adquieran la suficiente habilidad comunicativa para que los pacientes realmente comprendan, por lo que la asertividad en la comunicación inicia con...",saber escuchar.,valorar lo justo y lo injusto.,discernir entre lo bueno y lo malo.,diferenciar lo correcto de lo incorrecto.,A,saber escuchar.
2024-II,Medicina I,3,"Durante el inventario del año 2023, de la farmacia de un establecimiento de salud, se encontraron productos farmacéuticos, dispositivos médicos y productos sanitarios vencidos. Estos deben permanecer almacenados para su respectiva baja y destrucción final en el almacén:",Del SISMED,De la farmacia,Central,De servicios generales,C,Central
2024-II,Medicina I,4,En los cuidados individuales por curso de vida adulto mayor; en el entorno comunitario contempla:,La prevención de las caídas entre otros,Control de presión arterial,El control glicemia,Control de colesterol en sangre,A,La prevención de las caídas entre otros
2024-II,Medicina I,5,Según el perímetro abdominal para la edad. ¿Qué valor determina riesgo alto para tener enfermedades cardiovasculares y metabólicas en adolescentes?,Circunferencia abdominal ≥75 cm,Percentil ≥75 y <90,Percentil ≥90,Circunferencia abdominal >80 cm,B,Percentil ≥75 y <90
2024-II,Medicina I,6,"Dentro de sus intervenciones a realizar en su establecimiento de salud, prioriza el programa articulado nutricional (PAN). ¿Cuál es el objetivo del programa?",Reducción de la desnutrición crónica en menores de 5 años,Reducción de desnutrición y anemia en niños,Disminución la desnutrición aguda en menores de 3 años,Disminución de la malnutrición en menores de un año,A,Reducción de la desnutrición crónica en menores de 5 años
2024-II,Medicina I,7,¿Cuál de los siguientes enunciados es un indicador de estructura en la vigilancia epidemiológica en adolescentes?,% de adolescentes con consejería en salud nutricional,% de regiones que cuentan con un documento de análisis de situación de salud regional de adolescentes,% de adolescentes con consejería en salud sexual y reproductiva,% de atenciones preventivas en adolescentes con SIS,B,% de regiones que cuentan con un documento de análisis de situación de salud regional de adolescentes
2024-II,Medicina I,8,"Niño de 6 meses de edad, traido a su control de crecimiento y desarrollo al centro de salud de Paracas donde usted labora. Examen peso: 8 Kg. Hb: 10.8 g/dl. De acuerdo a la norma técnica de anemia 2024. ¿Cuál es la dosis de suplementación en mg indicada?",24,16,32,40,B,16
2024-II,Medicina I,9,Si se debe tomar decisiones con la media. ¿Cuál es la medida de dispersión asociada?,Desviación estándar,Rango intercuartílico,Varianza,Curtosis,A,Desviación estándar
2024-II,Medicina I,10,El modelo Bismark como modelo de salud se caracteriza por tener enfoque en...,protección laboral y familiar.,la comunidad.,grupos especiales.,acceso según recurso.,A,protección laboral y familiar.
