N° Pregunta,Pregunta,Opción A,Opción B,Opción C,Opción D,Respuesta Correcta,Texto Respuesta Correcta
1,"En actividad extramuros de vacunación del adolescente en su jurisdicción, usted acude a centro educativo identificando en un adolescente tatuajes extensos en antebrazo izquierdo. Fundamentalmente. ¿Qué área de la salud integral del adolescente está en riesgo?",Psicosocial,Sexual,Nutricional,Física,A,Psicosocial
2,El modelo de la Red Integrada de Salud (RIS) tiene 4 dimensiones para su funcionamiento. ¿A qué dimensión corresponde el atributo del primer nivel de atención en salud como puerta de entrada al sistema nacional de salud?,Gobernanza,Gestión,Prestación,Financiamiento,C,Prestación
3,"La programación del Plan Operativo Institucional, le corresponde a:",Establecimiento de salud,Zona sanitaria,Unidad ejecutora,Área sanitaria,C,Unidad ejecutora
4,Varón de 12 meses quien en cita de inmunizaciones solo recibió SPR. Usted es consultado para indicación de vacuna de varicela. ¿Cuál es el intervalo mínimo entre dosis?,Un mes,1 semana,2 meses,2 semanas,A,Un mes
5,"El sarampión es una enfermedad que se está incrementando en los diversos países de la región, incluido el Perú. En el primer semestre 2026 se produjeron 22 mil casos y 39 muertes en 17 países. Como medida de contención la OMS recomienda realizar el bloqueo vacunal al menos ...... manzanas alrededor de la vivienda.",15,12,25,10,C,25
6,"En el centro poblado El Milagro durante el mes de junio se presenta un brote de dengue con presencia de casos importados y presencia del vector, posteriormente en el mes de junio se realiza la vigilancia entomológica, en el mes de julio se reporta un índice aédico 3% y presencia de casos autóctonos; por lo que se decide realizar control entomológico. Al respecto marque la afirmación correcta:",Control larvario químico con pyriproxyfen al 100% de viviendas,Nebulización espacial con malathion en el 40% de viviendas,Control adulticida al 50% del área de intervención,Uso de permetrina en el 30% de las viviendas,A,Control larvario químico con pyriproxyfen al 100% de viviendas
7,"Una de las tareas relevantes de la epidemiología es la organización y descripción de los datos colectados, para lo cual se utilizan las variables epidemiológicas de:","Endemia, epidemia y pandemia","Incidencia, prevalencia y natalidad","Morbilidad, mortalidad y letalidad","Tiempo, lugar y persona",D,"Tiempo, lugar y persona"
8,"En un EESS, el personal responsable de salud ambiental realiza supervisión inopinada a las áreas asistenciales; evaluando de manera especial la correcta segregación de residuos sólidos. Se identifica la presencia de tres contenedores medianos con bolsa de color rojo, amarillo y negro; según el orden mencionado. ¿Qué residuos descarta en cada contenedor?",Hemoderivados - comunes - especiales,Radioactivos - farmacéuticos - alimentos,Biocontaminados - especiales - comunes,Químicos - hemoderivados - corrosivos,C,Biocontaminados - especiales - comunes
9,"Con el propósito de llegar a conclusiones más favorables en un estudio, el investigador a cargo de la edición y análisis de los datos suprimió casos, modificó medidas y alteró parámetros estadísticos. ¿Qué falta ética a la publicación científica cometió?",Fraude científico,Publicación redundante,Autoría fantasma,Conflicto de intereses,A,Fraude científico
10,El médico jefe de un establecimiento I-2 luego de reunirse con su equipo de gestión y el comité distrital de salud determina que es necesario ampliar su cartera de servicios y horario de atención; y considera en su visión convertirse en un establecimiento de salud categoría I-3. ¿Qué tipo de profesionales y/o personal técnico necesita incorporar?,Odontología y laboratorio,Ingeniero químico e ingeniero sanitario,Pediatría y ginecología,Nutrición y terapia física 09 de agosto 2026,A,Odontología y laboratorio
11,"El establecimiento de salud “La Esperanza” ha logrado bajas coberturas en todos los indicadores de salud mental; el personal de Psicología solicita una reunión con todo el personal para generar estrategias conjuntas y mejorar los resultados; sin embargo, el médico jefe no lo autoriza. ¿Qué dimensión que puede contribuir a la mejora del clima organizacional se está afectando?",Recompensa,Toma de decisiones,Identidad,Estructura,B,Toma de decisiones
12,"El psicólogo del centro de salud mental comunitario recibe una referencia de su colega de la zona sanitaria, mediante el cual, después de su valoración clínica, difiere con el diagnóstico inicial de la referencia. Después de la atención, el psicólogo de la zona sanitaria empieza a recibir burlas de parte del personal del centro de salud mental comunitario, a partir del comentario del colega. ¿Qué falta ética se está cometiendo?",Críticas entre colegas,Trato entre colegas,Competencia desleal,Imparcialidad del trato,A,Críticas entre colegas
13,"Dentro del marco de la salud pública, una de las fuentes de datos para la información en salud basada en la población es el registro de...",actividades administrativas.,estado de salud.,hechos vitales.,servicios prestados.,C,hechos vitales.
14,"Varón de 25 años acude al establecimiento por mordedura superficial de perro en el antebrazo izquierdo, siendo atendido por el profesional de la salud realizando el lavado de la herida por 10 minutos con abundante agua y jabón, para determinar el riesgo de la rabia. ¿Cómo clasifica la exposición de la mordedura?",Sin riesgo,Leve,Moderada,Grave,B,Leve
