N° Pregunta,Pregunta,Opción A,Opción B,Opción C,Opción D,Respuesta Correcta,Texto Respuesta Correcta
1,"El Ministerio de Salud a través de ...... es responsable de distribuir, difundir, dirigir, supervisar, monitorear y evaluar los medicamentos en los sectores públicos y privados.",CENSOPAS,DIGEMID,CENARES,DIGESA,B,DIGEMID
2,Se desea identificar el ciclo vital familiar para abordar a una familia que tiene un hijo adolescente con riesgo social. ¿Cuál es la idea principal de ciclo vital familiar?,Herramienta de gestión para los cuidados integrales,Sucesión de eventos que ocurren durante su existencia,Secuencia de fases por las que atraviesa,Conjunto de prestaciones según necesidades de salud,C,Secuencia de fases por las que atraviesa
3,"En el centro de salud, el serumista, atiende a varón de 20 años y le brinda consejería sobre salud bucal con la técnica del cepillado e hilo dental. ¿Qué desea implementar en la persona?",Autocuidado,Destreza,Motivación,Cambio de dieta,A,Autocuidado
4,¿Qué grupo de pacientes tienen indicación de terapia preventiva para la tuberculosis?,Sin diagnóstico de ITBL que pertenecen a grupos con corticoterapia e inmunosupresores,Adultos que son contactos de caso índice-TB pulmonar y pacientes con VIH,Pacientes con tuberculosis sensible,Personas que no tienen diagnóstico de infección tuberculosa latente,B,Adultos que son contactos de caso índice-TB pulmonar y pacientes con VIH
5,¿Quién es el responsable frente a la pérdida de la totalidad o parte de la historia clínica en el proceso de atención de salud?,Jefe del establecimiento de salud,Quien la recibió por última vez,Quien la entregó por última vez,Jefe de archivo de historias clínicas,B,Quien la recibió por última vez
6,"Dentro del petitorio nacional único de medicamentos esenciales para el sector salud existen consideraciones especiales de su uso, por lo cual requieren de un manejo especializado. ¿Qué tipo de medicamentos están en este rubro?",Exclusivo para dolor oncológico,Controlado para infecciones intrahospitalarias,Para métodos de planificación familiar,Específico para hepatitis A,A,Exclusivo para dolor oncológico
7,"Varón de 20 años, señala haber tenido RS con pareja desconocida hace un mes y no acude al EESS para ser evaluado. Trae resultado de VDRL: 16 diluciones. FTA- ABS (+). Examen Físico: PA: 110/70 mmHg, FC: 85 X', FR: 14X', afebril; en REG, con úlcera genital, no presenta ronchas en manos y plantas de pies. ¿Cuál es el diagnóstico más probable?",Infección por clamydia,Gonorrea,Herpes genital,Sífilis primaria,D,Sífilis primaria
8,"Un paciente desea realizar un reclamo por un posible maltrato de un trabajador del establecimiento de salud contra él, al no respetarse el orden de llegada para la atención. ¿Qué procedimiento corresponde?",Consejería,Consulta,Queja,Sugerencia,C,Queja
9,Cuenta con las herramientas administrativas para garantizar que la profesión se ejerza de manera ética. Este enunciado pertenece a la:,Responsabilidad,Deontología,Moral,Comisión de ética,B,Deontología
10,La promoción de la salud se define como la acción de ofrecer a los pueblos las vías y los medios suficientes para …… los problemas de salud y autocontrolar el proceso de salud-enfermedad.,atenuar o eliminar,controlar o mantener,diferir o mitigar,restringir o acortar,A,atenuar o eliminar
11,La Ética cultiva y promueve el ejercicio de la moral y los valores para que los actos estén encuadrados en el bien y en el derecho en beneficio de la sociedad. Como profesional de la salud. ¿Qué principios se debe de cumplir en la atención a la población objetivo?,"Orden, moral, deber y derecho","Fraternidad, moral, deber y orden","Solidaridad, orden, deber y derecho","Orden, fraternidad, moral y derecho",A,"Orden, moral, deber y derecho"
12,"La ética en la función pública no se queda en la teoría (reflexión), sino que debe llevarse a la práctica para tener un adecuado desempeño laboral. Como profesional de salud ante un caso de un diagnóstico que es confidencial, por el tipo de enfermedad. ¿Qué principios éticos debe cumplirse?",Respeto y atención diferenciada,"Veracidad, lealtad, eficiencia","Respeto, probidad y eficiencia","Silencio, manejo de la información",C,"Respeto, probidad y eficiencia"
13,"La pertinencia cultural en los servicios de salud implica que durante todo el proceso de la atención se tome en cuenta las características de la población a la que se atiende, en función a su cultura y contexto social. Evaluando cuatro dimensiones: gestión para la calidad de la atención, revaloración del sistema de salud tradicional, recursos humanos que promueven la salud intercultural y la …",atención intercultural.,interculturalidad en salud.,participación ciudadana.,inclusión social.,C,participación ciudadana.
14,Dentro del paquete preventivo de salud del adolescente. ¿Cuántas mediciones al año de hemoglobina debe realizarse?,2,6,4,1,A,2
